Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
16638377,The Leftovers,Tom Perrotta,"Perrotta, Tom",Dennis Boutsikaris,"=""142721672X""","=""9781427216724""",1,3.37,MacMillan Audio,Audiobook,10,2011,2011,2013/08/14,2012/04/18,"g-post-apocalyptic, z-read-src-un, z-len-10-20-hours","g-post-apocalyptic (#36), z-read-src-un (#30), z-len-10-20-hours (#163)",read,"I'll be honest - I just didn't GET this book. Supposedly set 3 years after a Rapture-like event took millions of people, it was just boring as hell. Nothing happened, nothing was explained, just boring.",,Length: 10 hrs and 18 mins<br/>Narrated By Dennis Boutsikaris,,,,0,,,,,
9644151,"Ashfall (Ashfall, #1)",Mike Mullin,"Mullin, Mike",,"=""1933718552""","=""9781933718552""",0,3.95,Tanglewood Press,Hardcover,476,2011,2011,,2012/04/18,"to-read, g-post-apocalyptic, ab-src-audible-av, ab-meta-exists, z-series-1, ku-undetermined","to-read (#69), g-post-apocalyptic (#17), ab-src-audible-av (#25), ab-meta-exists (#41), z-series-1 (#34), ku-undetermined (#19)",to-read,,,,,,,0,,,,,
14050,The Time Traveler's Wife,Audrey Niffenegger,"Niffenegger, Audrey",,"=""0965818675""","=""9780965818674""",0,3.94,MacAdam/Cage,Paperback,528,2003,2003,,2012/03/10,"to-read, g-time-travel, ab-meta-exists, ab-src-audible-av, ku-undetermined","to-read (#68), g-time-travel (#23), ab-meta-exists (#4), ab-src-audible-av (#53), ku-undetermined (#18)",to-read,,,,,,,0,,,,,
6559579,Spin,Robert Charles Wilson,"Wilson, Robert Charles",Scott Brick,"=""""","=""9781427205407""",5,4.00,Macmillan Audio,Audiobook,17,2008,2005,2015/01/08,2012/02/02,"g-post-apocalyptic, z-read-src-un, z-len-10-20-hours, z-series-1","g-post-apocalyptic (#16), z-read-src-un (#29), z-len-10-20-hours (#154), z-series-1 (#33)",read,"This was an absolutely riveting book that kept me intrigued the whole time. There was only one aspect that I thought was pointless and didn't add anything to the story (<spoiler>Tyler's mother's letters</spoiler>). But otherwise, the book was outstanding, very interesting with some big ideas and a satisfying ending.",,Length: 17 hrs and 33 mins<br/>Narrated By Scott Brick,,,,0,,,,,
812490,In War Times,Kathleen Ann Goonan,"Goonan, Kathleen Ann",,"=""0765313553""","=""9780765313553""",0,3.48,Tor Books,Hardcover,352,2007,2007,,2012/02/02,"to-read, g-time-travel, zz-ab-meta-none-all-dates, zz-ab-meta-none-201608","to-read (#67), g-time-travel (#22), zz-ab-meta-none-all-dates (#7), zz-ab-meta-none-201608 (#34)",to-read,,,,,,,0,,,,,
13065605,11.22.63,Stephen King,"King, Stephen",Craig Wasson,"=""""","=""""",5,4.28,Simon & Schuster Audio,Audible Audio,31,2011,2011,2012/05/14,2012/02/02,"g-time-travel, favorites, z-read-src-un","g-time-travel (#21), favorites (#3), z-read-src-un (#28)",read,"I liked this book very much. It got a little slow in the middle, but it was worth it for all of the time travel-related discussions at the end.",,,,,,0,,,,,
7588,A Portrait of the Artist as a Young Man,James Joyce,"Joyce, James",Seamus Deane,"=""0142437344""","=""9780142437346""",0,3.60,Penguin Classics,Paperback,329,2003,1916,,2011/12/19,literature,literature (#10),literature,,,,,,,0,,,,,
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""0060531045""","=""9780060531041""",0,4.03,Harper,Hardcover,457,2003,1967,,2011/12/19,literature,literature (#9),literature,,,,,,,0,,,,,
46170,For Whom the Bell Tolls,Ernest Hemingway,"Hemingway, Ernest",,"=""0684803356""","=""9780684803357""",0,3.95,Scribner,Paperback,480,2003,1940,,2011/12/19,literature,literature (#8),literature,,,,,,,0,,,,,
9471054,A Farewell To Arms,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""9781428114036""",2,3.78,Recorded Books,Audiobook,,2006,1929,2013/01/08,2011/12/19,z-read-src-un,z-read-src-un (#27),read,"I don't remember reading any Hemingway in High School or College, and so this is probably the first time I've read any of his books. I've been meaning to for quite some time now - mostly just to see what all the hype is about. Stephen King's book UR mentions this book as the book that Hemingway always writes <spoiler>no matter what alternate universe/timeline occurs</spoiler>. So to me that was an indication that this would be an outstanding book. <br/>However... this really felt like two books - a war story and a romance. The war story was interesting in that it painted a pretty bleak picture of what WWI must have been like. I thought that this book was supposed to be (at least the war part) semi-autobiographical, which would have been horrifying. However, according to Wikipedia, it's not - so even that part seems a little less impressive now. <br/>The romance half of the story - DREADFUL! Catherine Barkley was so annoying with the constant questions and insecurity. It was like reading about a tween schoolyard love affair. I hated everything about the Catherine story.<br/>I think that in a few weeks I'll try another Hemingway novel, but if I feel like I'm back in school reading an assignment then I'm going to have to give up on him. Life is too short to read boring and infuriating books.",,,,,,0,,,,,
3876,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""0743297334""","=""9780743297332""",0,3.83,Scribner,Paperback,256,2006,1926,,2011/12/19,literature,literature (#7),literature,,,,,,,0,,,,,
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",0,3.71,Scribner,Hardcover,132,1996,1952,,2011/12/19,literature,literature (#6),literature,,,,,,,0,,,,,
23265532,The Brothers Karamazov (Annotated),Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",Constance Garnett,"=""""","=""""",0,4.30,,Kindle Edition,802,2014,1880,,2011/12/19,"g-literature, did-not-finish","g-literature (#3), did-not-finish (#18)",did-not-finish,,,Length: 34 hrs and 53 mins<br/>Narrated By Frederick Davidson,,,,0,,,,,
12505,The Idiot,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor","Constance Garnett, Joseph Frank, Anna Brailovsky","=""0679642420""","=""9780679642428""",0,4.17,Modern Library,Paperback,667,2003,1868,,2011/12/19,literature,literature (#5),literature,,,,,,,0,,,,,
12395,Journey to the End of the Night,Louis-Ferdinand Céline,"Céline, Louis-Ferdinand","Ralph Manheim, William T. Vollmann","=""0811216543""","=""9780811216548""",0,4.24,New Directions,Paperback,607,2006,1932,,2011/12/19,literature,literature (#4),literature,,,,,,,0,,,,,
115476,Nostromo,Joseph Conrad,"Conrad, Joseph",,"=""0486424529""","=""9780486424521""",0,3.81,Dover Publications,Paperback,336,2002,1904,,2011/12/19,literature,literature (#3),literature,,,,,,,0,,,,,
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","John Rutherford, Roberto González Echevarría","=""0142437239""","=""9780142437230""",0,3.85,Penguin Classics,Paperback,1023,2003,1605,,2011/12/19,literature,literature (#2),literature,,,,,,,0,,,,,
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew    Ward,"=""""","=""""",0,3.95,Vintage International,Paperback,123,1989,1942,,2011/12/19,literature,literature (#1),literature,,,,,,,0,,,,,
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",0,3.96,Harper Perennial,Paperback,268,1998,1932,,2011/12/17,"to-read, ab-meta-exists, ab-src-audible-av, g-dystopia, eb-acquired, eb-db, ku-no, z-len-05-10-hours","to-read (#66), ab-meta-exists (#1), ab-src-audible-av (#51), g-dystopia (#32), eb-acquired (#5), eb-db (#3), ku-no (#165), z-len-05-10-hours (#154)",to-read,,,Length: 08 hrs and 05 mins<br/>Narrated By Michael York<br/>,,,,0,,,,,
2405849,The Great Gatsby ,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Anthony Heald,"=""1402523076""","=""9781402523076""",4,3.88,Blackstone Audio,Audiobook,,2009,1925,2012/08/09,2011/12/17,z-read-src-un,z-read-src-un (#26),read,"I wanted to see what all the fuss was about this book. I knew next to nothing of the story. I thought that it was very good - definitely not the usual type of story I like, but was still very interesting. I'm not at all certain why I found it so fascinating, though; but I did nonetheless.<br/>One interesting thing is that since the book was written in the middle of prohibition, there's no direct mention of that fact, like there might be for a book set in that period but written after it. It wasn't until later that I even remembered about prohibition, even though some people believe that Gatsby is a bootlegger. I guess I just totally glossed over what that term meant. Everybody was drinking all the time, and nobody mentioned needing to hide the liquor from the law. It's a great view into a slice of American history that I don't often think about.",,,,,,0,,,,,
7386388,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark",John Greenman,"=""""","=""""",3,3.89,librivox.org,Audiobook,7,2006,1876,2006/12/20,2011/12/17,,,read,,,read dates are approximate,,,,0,,,,,
